v 111FE33 PEUGEOT 306 10000 5
v 222DE33 RENAULT CLIO 30000 6
v 333DE33 RENAULT LAGUNA 30000 5
c 444DE33 RENAULT TRAFIC 30000 10000 20
c 555DE33 RENAULT TRUCK 30000 10000 12
u 666DE33 PEUGEOT TRICK 30000 10000
v RENALU RENALU DIOR 2 10
v 1 1 1 1 1
u 234 234 234 234 234
c 34 EE RR 34 43 45
v 34R AUDI TT 45 1
u 23TR43 RR TT 0 67
v 3' 2& RT 4 2
c 12 23 23 34 34 100000
v DE DE DE 45 2
c 345 21 23 43 34 56
v 45 67 89 34 1
u 12TZ87 IVECO DAILY 20 12000
v 654BDX33 AUDI Q5 5 60000
c 5432YU87 RENAULT MAGNUM 500 38000 900000
